name,address,imageUrl,lat,lng
CAFE BARN,제주특별자치도 제주시 애월읍 고성리 934-1,,33.434217,126.421975
골목카페옥수,제주 제주시 특별자치도 애월읍 소길1길 19,,33.439851,126.380032
카페 호나,제주특별자치도 제주시 애월읍 하소로 557-10,,33.434172,126.396891
카이로스 카페,제주특별자치도 제주시 애월읍 장전리 49-17,,33.449868,126.399936
카페 퍼시몬,제주특별자치도 제주시 애월읍 하소로 611-6,,33.429240,126.397076
카페 이너프,제주특별자치도 제주시 애월읍 고성리 418-1,,33.456333,126.419333
시루애월카페,제주시 특별자치도 제주시 애월읍 장전리 634-1,,33.442690,126.391865
제주기와,제주특별자치도 제주시 애월읍 광령리 4067,,33.451124,126.425529
포레스트,제주특별자치도 제주시 애월읍 유수암리 965,,33.429662,126.408899
요유나커피,제주특별자치도 제주시 애월읍 장소로 211,,33.434045,126.379913
달자카페,제주특별자치도 제주시 애월읍 구엄리 545,,33.483526,126.379960
노을리카페,제주특별자치도 제주시 애월읍 애월해안로 656,,33.479113,126.372674
큐티파이카페,제주특별자치도 제주시 애월해안로 610,,33.477860,126.368846
오롬마르,제주특별자치도 제주시 애월읍 장전리 110-5,,33.450099,126.396132
소길다방,제주특별자치도 제주시 애월읍 소길2길 45-3,,33.438836,126.379429
썸의시작,제주특별자치도 제주시 애월읍 애월해안로 570-1,,33.478220,126.366588
카페 오놀,제주특별자치도 서귀포시 중문동 대포로 174,,33.238666,126.439610
카페 테,제주특별자치도 서귀포시 회수동 천제연로 311,,33.251800,126.437830
봄봄카페,제주특별자치도 서귀포시 회수동 376-1,,33.263242,126.444971
무채색카페,제주특별자치도 서귀포시 중문동 1737-5,,33.254393,126.430070
DP159,제주특별자치도 서귀포시 대포동 대포로 159,,33.239485,126.437960
카페빈티지,제주특별자치도 서귀포시 회수동 557-4,,33.252809,126.444298
바다바라,제주특별자치도 서귀포시 색달동 2822-12,,33.245908,126.413041
카페팔길,제주특별자치도 서귀포시 하예동 706-12,,33.233887,126.383650
카페 1950,제주특별자치도 서귀포시 색달동 중문관광로 90,,33.250235,126.414181
카페봄봄,제주특별자치도 서귀포시 예래동 2804-1,,33.264091,126.384509
바당,제주특별자치도 서귀포시 대포동 대포로 172-8,,33.238432,126.439334
카페2472,제주특별자치도 서귀포시 색달동 2472-1,,33.255823,126.416500
색달로망스,제주특별자치도 서귀포시 색달로72번길 1,,33.260809,126.411157
휴일로,제주특별자치도 서귀포시 안덕면 난드르로 49-65,,33.232416,126.366312
카페 루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-65,,33.235071,126.363083
아뜨리에 카페명월,제주특별자치도 서귀포시 안덕면 상창리 1273-1,,33.279427,126.361537
카페소낭,"제주특별자치도 서귀포시 특별자치도, 천제연로 127-1",,33.254274,126.419232
멍우주카페,제주특별자치도 서귀포시 특별자치도 안덕면 창천리 785,,33.232362,126.367206
논짓물해수족욕카페,제주특별자치도 서귀포시 안덕면 창천리 785,,33.237194,126.388042
바램목장&카페,제주특별자치도 서귀포시 안덕면 동광리 258-4,,33.311147,126.352471
곶자왈카페,제주특별자치도 서귀포시 안덕면 상창리 2065-7번지,,33.283189,126.349796
레이지박스,제주특별자치도 서귀포시 안덕면 산방로 210,,33.236439,126.312929
View St.,제주특별자치도 서귀포시 안덕면 형제해안로 30,,33.227791,126.303542
게우지코지,제주특별자치도 서귀포시 하효동 1371,,33.243842,126.618684
카페 신효,제주특별자치도 서귀포시 신효동 111,,33.263509,126.615001
가까이,제주특별자치도 서귀포시 하효동 보목포로 161,,33.242638,126.617611
돌카페,제주특별자치도 서귀포시 하효동 999,,33.250313,126.621023
서양차관,제주특별자치도 서귀포시 하효동 1447,,33.242121,126.616005
오하효,제주특별자치도 서귀포시 효돈동 600,,33.259138,126.617854
낭커피,제주특별자치도 서귀포시 남원읍 하례리 1415-1,,33.291592,126.609287
안녕소깍,제주특별자치도 서귀포시 남원읍 남원읍 하례리 158-2,,33.258687,126.624623
카페돌셋,제주특별자치도 서귀포시 대정읍 상모리 73-2,,33.211990,126.292025
카페차롱,제주특별자치도 서귀포시 안덕면 감산리 288,,33.259661,126.354384
카페갤럭시아,제주특별자치도 서귀포시 안덕면 사계남로216번길 29,,33.233519,126310554
