name,address,imageUrl,lat,lng
경복궁,서울특별시 종로구 사직로 161,,37.57963,126.977
N서울타워,서울특별시 용산구 남산공원길 105,,37.55119,126.9883
북촌한옥마을,서울특별시 종로구 계동길,,37.58154,126.985
3D블랙아트,서울특별시 중구 명동8가길 27,,37.56189,126.9865
명동실탄사격장,서울특별시 중구 충무로2가 11-1 명동사격장 번지 선샤인빌딩 3층,,37.5619,126.9864
국립민속박물관,서울특별시 종로구 삼청로 37,,37.58167,126.979
롯데월드,서울특별시 송파구 올림픽로 240,,37.5111,127.0982
코엑스 아쿠아리움,서울특별시 강남구 영동대로 513,,37.5131,127.0583
명동난타극장,서울특별시 중구 명동길 26 유네스코회관,,37.56345,126.9837
페인터즈-명보아트홀,서울시 중구 마른내로 47,,37.56469,126.9932
어린이 대공원,서울특별시 광진구 능동로 216,,37.54941,127.0818
올림픽공원,서울특별시 송파구 올림픽로 424,,37.52066,127.1215
잠실야구장,서울특별시 송파구 올림픽로 25,,37.51223,127.0721
별마당도서관,서울특별시 강남구 영동대로 513 스타필드 코엑스몰 B1,,37.50991,127.0599
리얼이스케이프첼린지,서울특별시 마포구 와우산로27길 21 4층,,37.55413,126.9271
스머프매직포레스트홍대,서울특별시 마포구 어울마당로 151-1 2층,,37.55682,126.9267
키자니아,서울특별시 송파구 올림픽로 240,,37.51087,127.0965
한강요트투어,서울특별시 서초구 잠원동 121-9,,37.51953,127.0081
강북롤러스케이트,서울특별시 강북구 도봉로 342 지하 2층,,37.63789,127.0261
더메이즈,서울특별시 강남구 역삼동 봉은사로18길 76 스타팰리스 4층,,37.50176,127.0274
레드버튼강남,서울특별시 강남구 역삼동 814-5 1층,,37.50211,127.0261
비밀의화원,서울특별시 서초구 유화빌딩 지하 2층,,37.50154,127.0254
성수미술관,서울특별시 강남구 봉은사로4길 20 지하 1층,,37.50343,127.0263
하이커그라운드,서울특별시 중구 청계천로 40,,37.56859,126.9819
블루스퀘어,서울특별시 용산구 한남동 이태원로 294,,37.54088,127.0025
동대문디자인플라자,서울특별시 중구 을지로 281,,37.5665,127.0092
더 현대 서울,서울특별시 영등포구 여의대로 108,,37.52587,126.9284
커먼그라운드,서울특별시 광진구 아차산로 200,,37.54115,127.0659
언더스탠드에비뉴,서울특별시 성동구 왕십리로 63,,37.54355,127.0436
컬러풀뮤지엄,서울특별시 종로구 관훈동 인사동8길 49,,37.57459,126.9837
숲속한방랜드,서울특별시 서대문구 봉원사길 75-7,,37.57025,126.9457
빛의 시어터,서울특별시 광진구 광장동 워커힐로 177 워커힐호텔 B1층,,37.55535,127.1104
서울스카이,서울특별시 송파구 올림픽로 300,,37.51252,127.1023
더숲 초소책방,서울특별시 종로구 인왕산로 172,,37.5859,126.9642
그라운드 시소 서촌,서울 종로구 자하문로6길 18-8,,37.57776,126.9729
송파 책 박물관,서울특별시 송파구 송파대로37길 77,,37.4989,127.1045
서소문 역사박물관,서울특별시 중구 칠패로 5,,37.56056,126.9688
돈의문박물관마을,서울특별시 종로구 송월길 14-3,,37.56879,126.9685
경리단길,서울특별시 용산구 이태원동 210-65,,37.53844,126.9875
피규어뮤지엄w,서울특별시 강남구 선릉로158길 3,,37.52576,127.0404
남산골 한옥마을,서울특별시 중구 퇴계로34길 28,,37.55931,126.9945
남산 케이블카,서울특별시 중구 소파로 83,,37.55622,126.9838
가온다리,서울특별시 종로구 청운효자동 산4-38,,37.58645,126.965
디뮤지엄,서울특별시 성동구 왕십리로 83-21,,37.54384,127.0442
성수아트홀,서울특별시 성동구 뚝섬로1길 43,,37.54541,127.047
hide and seek,서울특별시 종로구 인사동길 44 쌈지길 B2,,37.57419,126.9848
아이홉 맥주공방,서울특별시 송파구 삼전동 백제고분로 243,,37.50299,127.0937
도토리 캐리커쳐,서울특별시 마포구 동교로38길 34,,37.56138,126.9255
심파티,서울특별시 용산구 이태원동 번지 지하 79-44 1층,,37.53246,126.9928
아트쉬프트,서울특별시 중구 충무로 54-17 5층,,37.56585,126.9934
