name,latitude,longitude
프릳츠,37.540962,126.949052
빈스빈스,37.558795,126.945534
앤트러사이트,37.545779,126.918363
카페마당,37.522685,127.035269
에브리띵벗더히어로,37.540016,126.993410
커피스미스,37.557490,126.937039
서울커피,37.573253,126.990090
포엠,37.563129,126.983680
학림다방,37.581923,127.001622
태양커피,37.490153,126.992838
헬카페,37.530274,126.996969
카페 정월,37.503651,127.028624
카페 이마,37.569921,126.977591
카페 공드리,37.579811,126.986775
카페게이트,37.553759,126.938268
카페 사사,37.576645,126.991588
카페오후,37.528310,126.906080
카페캠프통,37.526939,127.035255
베어카페,37.582822,126.971092
효자카페,37.580748,126.968478
