name,address,imageUrl,lat,lng
853,서울특별시 종로구 인사동12길 16,,37.5747,126.9851
지화자,서울특별시 종로구 자하문로 125,,37.58708,126.9694
정식당,서울특별시 강남구 청담동 선릉로158길 11,,37.52561,127.0411
양국,서울특별시 논현로95길 15 평화빌딩 1층 양국,,37.50207,127.0347
단풍나무집,서울특별시 용산구 이태원1동 이태원로27가길 26,,37.53505,126.9939
타볼로24,서울특별시 종로구 청계천로 279,,37.57019,127.0089
연남서식당,서울특별시 중구 을지로2가 번지 1층 199-61 금강,,37.56472,126.9833
진미식당,서울특별시 마포구 마포대로 186-6,,37.55056,126.9558
미쓰족발,서울특별시 중구 명동3길 21,,37.56461,126.9834
황생가칼국수,서울특별시 종로구 소격동 북촌로5길 78,,37.58012,126.9806
오부이용,서울특별시 성동구 독서당로51길 29-1 1층,,37.55062,127.0261
오제제,서울특별시 특별시 세종대로 136,,37.56837,126.9778
만가타,서울특별시 종로구 삼청로2길 40-5,,37.58014,126.9809
스시소라,서울특별시 종로구 종로 19 지하1층,,37.57109,126.98
물랑,서울특별시 종로구 창성동 자하문로16길 8,,37.58149,126.9719
혜화도담,서울특별시 종로구 대명1길 16-6,,37.58296,127.0004
독일주택,서울특별시 종로구 명륜4가 대명1길 16-4,,37.58291,127.0005
공기식당,서울특별시 종로구 청운효자동 필운대로6길 20-1,,37.58042,126.9694
김진목삼,서울특별시 종로구 자하문로1길 51,,37.57687,126.9695
세이류,서울특별시 송파구 신청동 11-4,,37.51764,127.1036
고든램지버거,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,,37.51321,127.1016
해목,서울특별시 송파구 올림픽로 300,,37.51348,127.1037
비채나,서울특별시 송파구 신천동 올림픽로 300 롯데월드 타워 81층,,37.5126,127.1025
바토스,서울특별시 용산구 이태원로15길 1,,37.53456,126.9902
크리스피포크타운,서울특별시 이태원동 455-33,,37.53447,126.9884
시칠리,서울특별시 용산구 한남동 739-20,,37.53763,127.0005
브라이리퍼블릭,서울특별시 용산구 이태원로14길 19,,37.53345,126.9908
야상해,서울특별시 용산구 이태원로23길 6,,37.53474,126.9928
하시엔다,서울특별시 용산구 보광로59길 10 1층,,37.534,126.9935
미성옥,서울특별시 중구 명동길 25-11,,37.56412,126.9839
애성회관,서울특별시 중구 소공동 남대문로5길 23,,37.56242,126.979
홍연,서울특별시 중구 소공로 106,,37.5644,126.9797
나인스게이트,서울특별시 중구 소공로 106,,37.56441,126.9797
라세느,서울특별시 중구 을지로 30 롯데호텔서울 Main Tower 1층,,37.56562,126.9801
명동돈가스,서울특별시 중구 명동3길 8,,37.56399,126.9836
충무집,서울특별시 중구 을지로3길 30-14,,37.56713,126.9819
일품향,서울특별시 중구 명동2길 26,,37.5621,126.9823
류경회관,서울특별시 종로구 종로 33 그랑서울 B1,,37.57114,126.9817
폴리스,서울특별시 강남구 삼성동 테헤란로 521 지하1층 F-13호,,37.50939,127.0611
금복당,서울특별시 강남구 영동대로 513,,37.51342,127.06
우래옥,서울특별시 중구 창경궁로 62-29,,37.56819,126.9987
이남장,서울특별시 중구 삼일대로12길 16,,37.56658,126.9886
원흥,서울특별시 중구 다동길 46,,37.56788,126.9817
산수갑산,서울특별시 중구 을지로동 15-4,,37.56538,126.9953
호반집,서울특별시 중구 을지로20길 10-13,,37.56592,126.995
모던샤브하우스,서울특별시 종로구 청진동 246 D타워 리플레이스 광화문 5층,,37.57108,126.979
후니도니,서울특별시 종로구 종로1가 19 지하 1층,,37.57076,126.9797
아키라백,서울특별시 종로구 당주동 새문안로 97,,37.57047,126.9755
덕후선생,서울특별시 종로구 종로3길 17 광화문D타워 4층,,37.57062,126.9789
유유안,서울특별시 종로구 새문안로 97,,37.57044,126.9755
